Scan,Time,5001 <LOAD> (VDC),5021 <DISP> (VDC),1-1p (6001),1-3p (6002),2-4p (6003),3-1p (6004),3-5p (6005),4-2p (6006),4-6p (6007),5-3p (6008),5-7p (6009),6-4p (6010),6-8p (6011),7-5p (6012),7-9p (6013),8-6p (6014),8-10p (6015),9-7p (6016),9-11p (6017),10-8p (6018),10-12p (6019),11-9p (6020),11-13p (6021),12-10p (6022),12-14p (6023),13-11p (6024),13-15p (6025),14-12p (6026),14-16p (6027),15-13p (6028),15-17p (6029),16-14p (6030),16-18p (6031),17-15p (6032),17-19p (6033),18-16p (6034),18-20p (6035),19-17p (6036),19-21p (6037),20-18p (6038),21-19p (6039),21-21p (6040)
282,2025-07-03 16:30:53.303395+00:00,0.1,0.1,36.0,79.0,15.0,77.0,7.0,85.0,65.0,41.0,41.0,77.0,31.0,86.0,20.0,87.0,68.0,99.0,38.0,18.0,60.0,35.0,34.0,78.0,11.0,50.0,61.0,90.0,73.0,38.0,22.0,61.0,44.0,30.0,4.0,31.0,22.0,41.0,95.0,94.0,91.0,6.0
283,2025-07-03 16:30:53.404366+00:00,0.1,0.1,62.0,78.0,21.0,90.0,71.0,12.0,34.0,48.0,62.0,34.0,65.0,100.0,86.0,70.0,12.0,44.0,34.0,88.0,26.0,15.0,99.0,97.0,9.0,72.0,24.0,72.0,68.0,41.0,39.0,64.0,51.0,40.0,27.0,30.0,63.0,16.0,96.0,15.0,19.0,59.0
284,2025-07-03 16:30:53.504646+00:00,0.1,0.1,41.0,45.0,84.0,74.0,77.0,55.0,20.0,69.0,70.0,22.0,84.0,71.0,92.0,42.0,32.0,29.0,41.0,95.0,32.0,16.0,75.0,19.0,5.0,69.0,18.0,55.0,54.0,100.0,76.0,77.0,80.0,90.0,94.0,57.0,52.0,45.0,48.0,22.0,75.0,13.0
285,2025-07-03 16:30:53.605441+00:00,0.1,0.1,67.0,21.0,77.0,29.0,40.0,80.0,20.0,49.0,62.0,83.0,33.0,17.0,30.0,11.0,48.0,32.0,25.0,14.0,72.0,11.0,98.0,17.0,46.0,12.0,17.0,10.0,15.0,99.0,11.0,97.0,31.0,5.0,92.0,91.0,72.0,91.0,23.0,7.0,100.0,85.0
286,2025-07-03 16:30:53.704991+00:00,0.1,0.1,70.0,30.0,30.0,41.0,45.0,19.0,81.0,95.0,69.0,96.0,45.0,60.0,7.0,94.0,54.0,62.0,35.0,89.0,98.0,48.0,53.0,88.0,19.0,17.0,27.0,82.0,80.0,35.0,72.0,90.0,94.0,68.0,21.0,26.0,66.0,20.0,46.0,4.0,85.0,98.0
287,2025-07-03 16:30:53.805793+00:00,0.1,0.1,69.0,3.0,36.0,8.0,46.0,88.0,68.0,61.0,19.0,10.0,55.0,99.0,65.0,16.0,71.0,37.0,75.0,36.0,39.0,99.0,73.0,51.0,76.0,3.0,23.0,21.0,37.0,36.0,87.0,89.0,1.0,16.0,39.0,82.0,41.0,57.0,95.0,1.0,67.0,96.0
288,2025-07-03 16:30:53.906606+00:00,0.1,0.1,88.0,40.0,3.0,57.0,42.0,94.0,10.0,25.0,16.0,56.0,30.0,41.0,34.0,77.0,18.0,59.0,95.0,41.0,37.0,94.0,47.0,24.0,29.0,42.0,59.0,43.0,83.0,43.0,3.0,87.0,34.0,25.0,80.0,76.0,44.0,68.0,61.0,32.0,17.0,92.0
289,2025-07-03 16:30:54.026721+00:00,0.1,0.1,61.0,63.0,28.0,7.0,18.0,40.0,36.0,84.0,70.0,93.0,4.0,90.0,32.0,94.0,50.0,95.0,10.0,40.0,94.0,62.0,17.0,49.0,53.0,44.0,69.0,11.0,15.0,19.0,81.0,70.0,70.0,24.0,47.0,90.0,67.0,18.0,21.0,99.0,70.0,35.0
290,2025-07-03 16:30:54.175636+00:00,0.1,0.1,50.0,98.0,28.0,18.0,81.0,96.0,87.0,7.0,58.0,17.0,3.0,13.0,12.0,51.0,40.0,37.0,20.0,77.0,48.0,90.0,20.0,50.0,32.0,95.0,93.0,96.0,26.0,5.0,49.0,40.0,37.0,67.0,32.0,37.0,11.0,20.0,94.0,100.0,47.0,67.0
291,2025-07-03 16:30:54.239175+00:00,0.1,0.1,61.0,14.0,62.0,50.0,38.0,80.0,24.0,65.0,94.0,36.0,8.0,90.0,21.0,84.0,14.0,32.0,22.0,100.0,99.0,94.0,75.0,55.0,31.0,57.0,60.0,63.0,83.0,31.0,53.0,14.0,91.0,99.0,53.0,13.0,30.0,46.0,49.0,3.0,19.0,39.0
292,2025-07-03 16:30:54.339828+00:00,0.1,0.1,91.0,82.0,94.0,80.0,31.0,65.0,63.0,78.0,55.0,40.0,5.0,58.0,31.0,79.0,61.0,33.0,94.0,93.0,8.0,89.0,78.0,96.0,53.0,36.0,92.0,4.0,32.0,4.0,38.0,93.0,98.0,85.0,5.0,91.0,75.0,52.0,38.0,65.0,62.0,23.0
293,2025-07-03 16:30:54.464119+00:00,0.1,0.1,68.0,86.0,18.0,1.0,34.0,78.0,0.0,58.0,63.0,80.0,49.0,9.0,78.0,18.0,41.0,16.0,42.0,6.0,10.0,67.0,76.0,49.0,26.0,98.0,64.0,7.0,30.0,92.0,99.0,89.0,100.0,76.0,42.0,1.0,84.0,28.0,31.0,72.0,15.0,100.0
294,2025-07-03 16:30:54.564111+00:00,0.1,0.1,44.0,86.0,31.0,99.0,71.0,65.0,3.0,55.0,63.0,77.0,60.0,89.0,81.0,23.0,24.0,50.0,61.0,67.0,95.0,95.0,84.0,85.0,78.0,84.0,61.0,22.0,42.0,73.0,60.0,97.0,21.0,46.0,11.0,79.0,37.0,24.0,35.0,40.0,9.0,41.0
295,2025-07-03 16:30:54.664222+00:00,0.1,0.1,57.0,71.0,58.0,55.0,94.0,2.0,66.0,87.0,56.0,77.0,70.0,85.0,44.0,92.0,90.0,69.0,46.0,96.0,62.0,80.0,63.0,18.0,27.0,53.0,36.0,10.0,73.0,85.0,22.0,10.0,42.0,77.0,13.0,94.0,45.0,27.0,90.0,27.0,4.0,41.0
296,2025-07-03 16:30:54.764869+00:00,0.1,0.1,56.0,42.0,81.0,18.0,63.0,61.0,13.0,45.0,48.0,46.0,46.0,21.0,1.0,31.0,33.0,89.0,26.0,5.0,36.0,70.0,10.0,2.0,59.0,10.0,0.0,19.0,21.0,98.0,70.0,95.0,10.0,88.0,43.0,77.0,23.0,95.0,67.0,16.0,21.0,25.0
297,2025-07-03 16:30:54.865725+00:00,0.1,0.1,99.0,94.0,63.0,10.0,44.0,45.0,42.0,0.0,66.0,28.0,88.0,98.0,89.0,100.0,3.0,66.0,54.0,95.0,14.0,74.0,23.0,69.0,43.0,42.0,80.0,26.0,28.0,7.0,98.0,52.0,26.0,61.0,56.0,65.0,17.0,98.0,54.0,64.0,75.0,62.0
298,2025-07-03 16:30:54.966106+00:00,0.1,0.1,35.0,16.0,11.0,38.0,4.0,58.0,69.0,67.0,79.0,86.0,63.0,8.0,73.0,93.0,75.0,97.0,80.0,17.0,35.0,10.0,66.0,27.0,51.0,94.0,34.0,31.0,13.0,45.0,32.0,24.0,70.0,37.0,60.0,25.0,27.0,99.0,4.0,75.0,1.0,44.0
299,2025-07-03 16:30:55.094641+00:00,0.1,0.1,40.0,38.0,64.0,55.0,32.0,27.0,37.0,69.0,84.0,76.0,27.0,31.0,44.0,54.0,26.0,49.0,53.0,47.0,58.0,50.0,12.0,94.0,60.0,24.0,31.0,55.0,13.0,85.0,60.0,16.0,13.0,53.0,95.0,14.0,1.0,49.0,86.0,28.0,21.0,14.0
300,2025-07-03 16:30:55.204560+00:00,0.1,0.1,23.0,70.0,68.0,28.0,43.0,70.0,20.0,73.0,50.0,46.0,64.0,23.0,48.0,47.0,1.0,94.0,92.0,14.0,100.0,99.0,34.0,98.0,41.0,83.0,33.0,5.0,36.0,74.0,96.0,36.0,39.0,92.0,49.0,24.0,91.0,55.0,54.0,9.0,34.0,91.0
301,2025-07-03 16:30:55.292286+00:00,0.1,0.1,37.0,62.0,23.0,95.0,0.0,11.0,88.0,88.0,71.0,81.0,51.0,0.0,20.0,66.0,23.0,74.0,92.0,44.0,36.0,42.0,21.0,29.0,49.0,96.0,0.0,85.0,90.0,31.0,55.0,92.0,96.0,38.0,30.0,42.0,57.0,32.0,5.0,66.0,91.0,89.0
302,2025-07-03 16:30:55.388807+00:00,0.1,0.1,75.0,27.0,99.0,20.0,67.0,52.0,98.0,31.0,33.0,21.0,97.0,4.0,6.0,68.0,90.0,28.0,4.0,85.0,36.0,56.0,26.0,6.0,27.0,69.0,19.0,93.0,53.0,60.0,100.0,31.0,43.0,68.0,8.0,89.0,77.0,88.0,19.0,15.0,57.0,53.0
303,2025-07-03 16:30:55.489335+00:00,0.1,0.1,56.0,73.0,1.0,28.0,60.0,75.0,100.0,40.0,8.0,31.0,60.0,16.0,66.0,58.0,94.0,15.0,6.0,50.0,90.0,37.0,13.0,32.0,82.0,73.0,84.0,32.0,67.0,87.0,57.0,54.0,83.0,77.0,30.0,70.0,45.0,1.0,31.0,50.0,85.0,69.0
304,2025-07-03 16:30:55.589795+00:00,0.1,0.1,96.0,73.0,41.0,57.0,1.0,50.0,93.0,35.0,24.0,66.0,75.0,47.0,11.0,60.0,55.0,57.0,88.0,67.0,80.0,87.0,0.0,21.0,19.0,65.0,9.0,55.0,74.0,30.0,70.0,11.0,26.0,86.0,75.0,96.0,90.0,63.0,20.0,88.0,97.0,36.0
305,2025-07-03 16:30:55.696867+00:00,0.1,0.1,83.0,98.0,99.0,19.0,0.0,31.0,92.0,75.0,37.0,57.0,52.0,62.0,9.0,45.0,67.0,83.0,29.0,88.0,9.0,88.0,76.0,67.0,13.0,79.0,92.0,77.0,3.0,17.0,29.0,77.0,10.0,8.0,80.0,70.0,63.0,95.0,80.0,72.0,24.0,15.0
306,2025-07-03 16:30:55.792014+00:00,0.1,0.1,54.0,29.0,29.0,31.0,68.0,11.0,56.0,22.0,78.0,28.0,84.0,7.0,26.0,10.0,52.0,21.0,97.0,85.0,79.0,32.0,91.0,27.0,44.0,89.0,9.0,14.0,40.0,54.0,71.0,10.0,27.0,16.0,16.0,42.0,96.0,49.0,31.0,45.0,25.0,47.0
307,2025-07-03 16:30:55.892607+00:00,0.1,0.1,43.0,6.0,61.0,31.0,84.0,24.0,85.0,58.0,8.0,47.0,8.0,25.0,65.0,78.0,66.0,68.0,21.0,84.0,62.0,8.0,93.0,65.0,62.0,99.0,12.0,70.0,58.0,15.0,64.0,41.0,6.0,78.0,19.0,14.0,24.0,36.0,38.0,74.0,33.0,29.0
308,2025-07-03 16:30:55.993820+00:00,0.1,0.1,69.0,90.0,65.0,55.0,22.0,63.0,30.0,1.0,97.0,14.0,37.0,73.0,100.0,11.0,100.0,59.0,25.0,65.0,84.0,61.0,100.0,14.0,100.0,41.0,16.0,26.0,95.0,36.0,89.0,62.0,13.0,81.0,46.0,17.0,12.0,58.0,13.0,38.0,58.0,82.0
309,2025-07-03 16:30:56.093676+00:00,0.1,0.1,56.0,85.0,57.0,83.0,54.0,67.0,65.0,53.0,44.0,63.0,50.0,92.0,1.0,45.0,78.0,50.0,44.0,21.0,3.0,67.0,92.0,42.0,2.0,47.0,45.0,96.0,62.0,93.0,92.0,89.0,22.0,95.0,11.0,17.0,68.0,32.0,18.0,77.0,44.0,61.0
310,2025-07-03 16:30:56.332194+00:00,0.1,0.1,88.0,33.0,69.0,13.0,42.0,100.0,4.0,65.0,59.0,75.0,36.0,64.0,70.0,14.0,16.0,25.0,4.0,91.0,17.0,31.0,19.0,95.0,70.0,16.0,94.0,58.0,52.0,43.0,0.0,17.0,87.0,79.0,62.0,100.0,25.0,90.0,55.0,17.0,77.0,96.0
311,2025-07-03 16:30:56.341509+00:00,0.1,0.1,41.0,76.0,65.0,22.0,13.0,19.0,20.0,63.0,19.0,98.0,4.0,44.0,24.0,9.0,67.0,82.0,17.0,75.0,25.0,16.0,33.0,77.0,51.0,41.0,16.0,85.0,59.0,47.0,30.0,47.0,67.0,31.0,41.0,41.0,20.0,91.0,51.0,78.0,48.0,27.0
312,2025-07-03 16:30:56.444130+00:00,0.1,0.1,64.0,45.0,93.0,25.0,13.0,69.0,17.0,46.0,1.0,25.0,81.0,17.0,18.0,31.0,91.0,81.0,2.0,46.0,21.0,0.0,65.0,81.0,1.0,8.0,7.0,60.0,53.0,23.0,73.0,82.0,4.0,43.0,56.0,32.0,45.0,18.0,41.0,12.0,75.0,24.0
313,2025-07-03 16:30:56.534547+00:00,0.1,0.1,31.0,5.0,0.0,53.0,82.0,22.0,49.0,27.0,0.0,67.0,60.0,92.0,33.0,34.0,80.0,47.0,66.0,41.0,0.0,43.0,90.0,8.0,41.0,26.0,33.0,82.0,67.0,7.0,9.0,37.0,95.0,50.0,14.0,92.0,44.0,65.0,25.0,25.0,19.0,99.0
314,2025-07-03 16:30:56.635543+00:00,0.1,0.1,98.0,97.0,87.0,54.0,68.0,40.0,56.0,99.0,2.0,53.0,9.0,14.0,17.0,5.0,44.0,28.0,92.0,87.0,37.0,45.0,79.0,62.0,37.0,25.0,39.0,98.0,17.0,89.0,96.0,42.0,68.0,98.0,67.0,65.0,6.0,3.0,38.0,93.0,64.0,69.0
315,2025-07-03 16:30:56.736070+00:00,0.1,0.1,52.0,22.0,61.0,62.0,26.0,59.0,33.0,9.0,35.0,63.0,69.0,72.0,19.0,95.0,7.0,32.0,89.0,40.0,65.0,52.0,33.0,7.0,40.0,8.0,30.0,97.0,52.0,5.0,40.0,24.0,8.0,93.0,96.0,58.0,9.0,78.0,40.0,55.0,81.0,12.0
316,2025-07-03 16:30:56.837374+00:00,0.1,0.1,67.0,52.0,47.0,76.0,25.0,3.0,15.0,41.0,91.0,75.0,40.0,3.0,38.0,9.0,38.0,62.0,24.0,42.0,45.0,95.0,71.0,29.0,27.0,33.0,75.0,78.0,72.0,51.0,69.0,91.0,49.0,9.0,73.0,33.0,33.0,44.0,57.0,58.0,79.0,50.0
317,2025-07-03 16:30:56.939089+00:00,0.1,0.1,53.0,47.0,89.0,99.0,99.0,55.0,67.0,86.0,11.0,72.0,82.0,29.0,31.0,14.0,21.0,54.0,3.0,6.0,48.0,99.0,70.0,78.0,24.0,34.0,54.0,62.0,21.0,22.0,69.0,76.0,45.0,40.0,85.0,98.0,14.0,83.0,52.0,57.0,14.0,21.0
318,2025-07-03 16:30:57.038566+00:00,0.1,0.1,99.0,30.0,22.0,10.0,21.0,21.0,17.0,52.0,50.0,63.0,58.0,67.0,71.0,56.0,68.0,87.0,21.0,49.0,22.0,12.0,99.0,13.0,35.0,74.0,32.0,33.0,33.0,20.0,58.0,39.0,40.0,1.0,7.0,22.0,7.0,89.0,58.0,72.0,45.0,2.0
319,2025-07-03 16:30:57.139645+00:00,0.1,0.1,78.0,66.0,92.0,19.0,79.0,96.0,21.0,56.0,50.0,19.0,27.0,91.0,87.0,63.0,74.0,43.0,85.0,30.0,54.0,85.0,13.0,70.0,97.0,92.0,68.0,43.0,79.0,90.0,83.0,96.0,6.0,59.0,85.0,58.0,22.0,76.0,74.0,79.0,64.0,82.0
320,2025-07-03 16:30:57.239425+00:00,0.1,0.1,44.0,51.0,76.0,4.0,78.0,57.0,35.0,98.0,34.0,76.0,65.0,99.0,71.0,9.0,92.0,65.0,19.0,70.0,60.0,44.0,52.0,14.0,66.0,82.0,47.0,69.0,97.0,1.0,31.0,38.0,16.0,56.0,98.0,7.0,80.0,92.0,76.0,23.0,96.0,63.0
321,2025-07-03 16:30:57.366678+00:00,0.1,0.1,100.0,78.0,70.0,96.0,36.0,98.0,97.0,61.0,85.0,60.0,53.0,35.0,10.0,63.0,85.0,19.0,55.0,78.0,98.0,5.0,63.0,45.0,76.0,48.0,5.0,78.0,29.0,93.0,18.0,22.0,90.0,94.0,26.0,39.0,26.0,61.0,6.0,30.0,32.0,81.0
322,2025-07-03 16:30:57.534812+00:00,0.1,0.1,78.0,61.0,77.0,82.0,35.0,11.0,19.0,44.0,63.0,6.0,37.0,85.0,4.0,61.0,26.0,0.0,53.0,41.0,97.0,48.0,12.0,9.0,40.0,95.0,94.0,88.0,81.0,87.0,49.0,20.0,64.0,13.0,74.0,42.0,92.0,32.0,64.0,13.0,54.0,9.0
323,2025-07-03 16:30:57.586648+00:00,0.1,0.1,1.0,14.0,79.0,4.0,50.0,43.0,85.0,68.0,2.0,65.0,42.0,13.0,40.0,1.0,86.0,87.0,89.0,1.0,79.0,23.0,7.0,75.0,59.0,38.0,81.0,43.0,93.0,17.0,80.0,4.0,2.0,29.0,54.0,88.0,70.0,57.0,18.0,57.0,41.0,9.0
324,2025-07-03 16:30:57.664993+00:00,0.1,0.1,13.0,55.0,93.0,7.0,87.0,36.0,35.0,98.0,5.0,59.0,81.0,62.0,10.0,42.0,73.0,52.0,76.0,78.0,2.0,10.0,25.0,32.0,48.0,4.0,9.0,95.0,66.0,64.0,89.0,52.0,45.0,9.0,80.0,93.0,90.0,65.0,87.0,10.0,58.0,54.0
325,2025-07-03 16:30:57.765471+00:00,0.1,0.1,22.0,25.0,1.0,19.0,7.0,58.0,29.0,18.0,27.0,16.0,41.0,81.0,67.0,25.0,53.0,90.0,20.0,73.0,20.0,3.0,88.0,50.0,50.0,35.0,57.0,40.0,11.0,82.0,39.0,20.0,88.0,86.0,13.0,40.0,14.0,25.0,66.0,33.0,47.0,52.0
326,2025-07-03 16:30:57.866180+00:00,0.1,0.1,3.0,86.0,71.0,46.0,65.0,3.0,22.0,18.0,72.0,9.0,47.0,36.0,0.0,64.0,65.0,10.0,17.0,17.0,79.0,79.0,90.0,41.0,93.0,23.0,91.0,40.0,79.0,63.0,24.0,68.0,62.0,81.0,40.0,47.0,7.0,16.0,41.0,8.0,1.0,83.0
327,2025-07-03 16:30:57.967751+00:00,0.1,0.1,45.0,99.0,7.0,46.0,27.0,3.0,55.0,98.0,94.0,12.0,71.0,93.0,18.0,90.0,40.0,22.0,8.0,18.0,50.0,43.0,83.0,73.0,28.0,98.0,81.0,64.0,37.0,88.0,93.0,46.0,29.0,88.0,33.0,89.0,28.0,45.0,31.0,38.0,20.0,12.0
328,2025-07-03 16:30:58.067644+00:00,0.1,0.1,74.0,1.0,41.0,68.0,15.0,7.0,2.0,60.0,75.0,12.0,100.0,74.0,81.0,36.0,97.0,82.0,45.0,24.0,100.0,73.0,52.0,25.0,28.0,60.0,98.0,26.0,34.0,14.0,67.0,87.0,100.0,0.0,71.0,27.0,36.0,32.0,33.0,9.0,0.0,53.0
329,2025-07-03 16:30:58.168938+00:00,0.1,0.1,90.0,2.0,60.0,30.0,83.0,67.0,60.0,43.0,57.0,18.0,83.0,53.0,35.0,22.0,40.0,42.0,12.0,4.0,41.0,60.0,26.0,69.0,44.0,26.0,44.0,83.0,26.0,72.0,6.0,38.0,96.0,40.0,96.0,15.0,3.0,66.0,0.0,45.0,99.0,22.0
330,2025-07-03 16:30:58.269267+00:00,0.1,0.1,3.0,37.0,59.0,67.0,100.0,74.0,31.0,15.0,71.0,0.0,91.0,73.0,82.0,75.0,6.0,8.0,75.0,56.0,30.0,19.0,25.0,47.0,51.0,66.0,64.0,84.0,76.0,11.0,69.0,74.0,14.0,96.0,32.0,6.0,81.0,49.0,63.0,20.0,9.0,24.0
331,2025-07-03 16:30:58.401564+00:00,0.1,0.1,21.0,96.0,85.0,24.0,5.0,36.0,51.0,94.0,92.0,24.0,66.0,64.0,17.0,58.0,36.0,81.0,39.0,76.0,66.0,70.0,94.0,2.0,45.0,24.0,21.0,9.0,39.0,36.0,97.0,46.0,21.0,83.0,8.0,99.0,45.0,35.0,97.0,53.0,27.0,5.0
332,2025-07-03 16:30:58.543264+00:00,0.1,0.1,85.0,79.0,92.0,77.0,60.0,60.0,78.0,69.0,92.0,52.0,76.0,92.0,48.0,64.0,76.0,93.0,71.0,84.0,17.0,1.0,54.0,66.0,84.0,74.0,86.0,34.0,21.0,76.0,7.0,26.0,94.0,59.0,71.0,78.0,12.0,30.0,81.0,0.0,14.0,23.0
333,2025-07-03 16:30:58.604845+00:00,0.1,0.1,94.0,55.0,44.0,39.0,48.0,41.0,12.0,76.0,86.0,27.0,61.0,29.0,75.0,76.0,12.0,2.0,32.0,35.0,84.0,92.0,12.0,32.0,48.0,6.0,97.0,84.0,10.0,96.0,34.0,71.0,39.0,63.0,100.0,13.0,52.0,58.0,64.0,10.0,32.0,11.0
334,2025-07-03 16:30:58.711577+00:00,0.1,0.1,54.0,91.0,22.0,17.0,17.0,39.0,85.0,82.0,2.0,43.0,89.0,2.0,28.0,13.0,21.0,54.0,47.0,54.0,68.0,8.0,48.0,47.0,36.0,69.0,74.0,5.0,88.0,80.0,99.0,43.0,39.0,52.0,5.0,92.0,52.0,39.0,91.0,76.0,23.0,91.0
335,2025-07-03 16:30:58.812303+00:00,0.1,0.1,93.0,12.0,61.0,23.0,53.0,85.0,2.0,84.0,24.0,9.0,86.0,86.0,9.0,68.0,73.0,19.0,88.0,98.0,25.0,84.0,99.0,93.0,60.0,56.0,45.0,19.0,33.0,32.0,96.0,86.0,100.0,41.0,23.0,47.0,79.0,65.0,18.0,10.0,54.0,24.0
336,2025-07-03 16:30:58.912909+00:00,0.1,0.1,64.0,44.0,8.0,54.0,46.0,11.0,21.0,68.0,23.0,34.0,61.0,4.0,24.0,67.0,8.0,94.0,70.0,45.0,100.0,98.0,5.0,88.0,82.0,0.0,87.0,20.0,32.0,51.0,98.0,20.0,63.0,7.0,59.0,34.0,31.0,3.0,64.0,58.0,93.0,70.0
337,2025-07-03 16:30:59.013558+00:00,0.1,0.1,9.0,60.0,18.0,22.0,52.0,56.0,8.0,55.0,72.0,60.0,85.0,1.0,69.0,54.0,4.0,56.0,96.0,64.0,13.0,32.0,56.0,76.0,69.0,21.0,79.0,68.0,42.0,50.0,72.0,46.0,31.0,29.0,86.0,42.0,83.0,57.0,46.0,88.0,74.0,91.0
338,2025-07-03 16:30:59.114961+00:00,0.1,0.1,6.0,65.0,61.0,89.0,58.0,30.0,62.0,47.0,75.0,85.0,67.0,45.0,16.0,25.0,85.0,54.0,40.0,80.0,91.0,55.0,28.0,10.0,48.0,84.0,68.0,24.0,92.0,15.0,23.0,41.0,34.0,21.0,33.0,71.0,42.0,57.0,94.0,73.0,89.0,76.0
339,2025-07-03 16:30:59.214678+00:00,0.1,0.1,1.0,50.0,57.0,95.0,50.0,49.0,11.0,8.0,57.0,95.0,49.0,88.0,1.0,59.0,47.0,18.0,75.0,70.0,81.0,97.0,35.0,64.0,89.0,21.0,4.0,50.0,87.0,58.0,5.0,19.0,71.0,25.0,59.0,53.0,73.0,88.0,71.0,24.0,91.0,98.0
340,2025-07-03 16:30:59.315932+00:00,0.1,0.1,15.0,84.0,57.0,2.0,10.0,28.0,7.0,22.0,4.0,2.0,9.0,79.0,97.0,31.0,32.0,21.0,18.0,57.0,22.0,93.0,63.0,31.0,48.0,99.0,61.0,25.0,48.0,30.0,50.0,22.0,48.0,10.0,36.0,77.0,91.0,74.0,80.0,69.0,71.0,56.0
341,2025-07-03 16:30:59.492805+00:00,0.1,0.1,80.0,72.0,10.0,2.0,72.0,60.0,42.0,57.0,78.0,36.0,83.0,87.0,26.0,31.0,85.0,11.0,66.0,79.0,88.0,66.0,37.0,58.0,67.0,36.0,64.0,70.0,25.0,21.0,76.0,85.0,43.0,52.0,20.0,11.0,10.0,68.0,99.0,13.0,61.0,83.0
342,2025-07-03 16:30:59.561178+00:00,0.1,0.1,23.0,15.0,67.0,84.0,46.0,5.0,36.0,50.0,97.0,87.0,42.0,100.0,0.0,71.0,90.0,79.0,72.0,24.0,87.0,0.0,2.0,75.0,20.0,42.0,31.0,27.0,1.0,76.0,56.0,31.0,97.0,10.0,12.0,79.0,73.0,56.0,93.0,81.0,62.0,16.0
343,2025-07-03 16:30:59.705355+00:00,0.1,0.1,62.0,3.0,20.0,13.0,85.0,14.0,18.0,84.0,48.0,17.0,43.0,41.0,3.0,62.0,56.0,31.0,77.0,79.0,43.0,13.0,35.0,20.0,71.0,93.0,16.0,27.0,24.0,21.0,18.0,49.0,64.0,93.0,84.0,8.0,54.0,48.0,78.0,46.0,76.0,47.0
344,2025-07-03 16:30:59.797815+00:00,0.1,0.1,39.0,96.0,38.0,52.0,89.0,0.0,20.0,96.0,43.0,66.0,23.0,13.0,100.0,48.0,15.0,92.0,48.0,9.0,18.0,18.0,70.0,36.0,78.0,29.0,89.0,75.0,76.0,22.0,19.0,76.0,16.0,40.0,7.0,90.0,56.0,50.0,74.0,42.0,8.0,58.0
345,2025-07-03 16:30:59.894916+00:00,0.1,0.1,69.0,9.0,60.0,24.0,83.0,93.0,34.0,64.0,79.0,66.0,5.0,48.0,85.0,12.0,4.0,76.0,50.0,13.0,39.0,25.0,62.0,66.0,45.0,47.0,9.0,32.0,80.0,18.0,22.0,88.0,97.0,90.0,37.0,29.0,93.0,31.0,95.0,0.0,62.0,69.0
346,2025-07-03 16:30:59.995772+00:00,0.1,0.1,42.0,11.0,33.0,46.0,59.0,49.0,81.0,10.0,86.0,51.0,98.0,64.0,7.0,79.0,76.0,52.0,15.0,64.0,86.0,1.0,14.0,83.0,97.0,17.0,91.0,90.0,87.0,88.0,4.0,39.0,79.0,65.0,41.0,66.0,75.0,81.0,3.0,81.0,52.0,30.0
347,2025-07-03 16:31:00.096279+00:00,0.1,0.1,35.0,57.0,94.0,79.0,89.0,77.0,95.0,32.0,69.0,18.0,90.0,82.0,86.0,19.0,47.0,15.0,24.0,80.0,56.0,78.0,18.0,57.0,72.0,96.0,75.0,84.0,58.0,98.0,78.0,75.0,72.0,60.0,56.0,69.0,28.0,81.0,0.0,36.0,80.0,98.0
348,2025-07-03 16:31:00.197585+00:00,0.1,0.1,50.0,83.0,67.0,100.0,92.0,3.0,81.0,77.0,91.0,54.0,66.0,79.0,37.0,22.0,67.0,15.0,4.0,80.0,99.0,10.0,32.0,77.0,96.0,82.0,67.0,94.0,92.0,2.0,25.0,14.0,76.0,90.0,71.0,34.0,80.0,28.0,45.0,25.0,71.0,100.0
349,2025-07-03 16:31:00.297782+00:00,0.1,0.1,6.0,63.0,24.0,46.0,15.0,65.0,95.0,79.0,73.0,31.0,93.0,53.0,42.0,84.0,17.0,80.0,32.0,97.0,26.0,30.0,72.0,46.0,1.0,6.0,59.0,16.0,8.0,72.0,7.0,37.0,15.0,69.0,99.0,53.0,97.0,100.0,51.0,71.0,90.0,72.0
350,2025-07-03 16:31:00.397997+00:00,0.1,0.1,38.0,5.0,46.0,42.0,21.0,32.0,98.0,22.0,32.0,50.0,91.0,91.0,90.0,35.0,31.0,21.0,44.0,65.0,34.0,95.0,37.0,29.0,72.0,1.0,29.0,48.0,3.0,19.0,72.0,72.0,52.0,66.0,59.0,30.0,82.0,68.0,1.0,23.0,87.0,53.0
351,2025-07-03 16:31:00.551519+00:00,0.1,0.1,87.0,57.0,58.0,5.0,81.0,47.0,84.0,51.0,13.0,15.0,94.0,86.0,89.0,96.0,39.0,17.0,87.0,67.0,98.0,45.0,42.0,95.0,38.0,11.0,52.0,75.0,87.0,36.0,43.0,28.0,98.0,60.0,16.0,31.0,3.0,64.0,84.0,95.0,65.0,67.0
352,2025-07-03 16:31:00.623320+00:00,0.1,0.1,61.0,82.0,19.0,13.0,40.0,17.0,16.0,7.0,18.0,47.0,55.0,12.0,91.0,31.0,25.0,4.0,64.0,69.0,72.0,97.0,100.0,99.0,16.0,28.0,14.0,57.0,92.0,21.0,71.0,31.0,9.0,5.0,54.0,52.0,60.0,79.0,96.0,31.0,57.0,94.0
